#p q x1 x2 x3 df/dx3
10.960000 1.000000 1.654997 0.020249 0.128589 -0.553069
10.970000 1.000000 0.305340 0.181821 0.022914 0.472707
10.970000 1.000000 1.653863 0.020295 0.128405 -0.552247
10.980000 1.000000 0.306139 0.181560 0.022957 0.472181
10.980000 1.000000 1.652726 0.020342 0.128221 -0.551424
10.990000 1.000000 0.306940 0.181300 0.023000 0.471654
10.990000 1.000000 1.651587 0.020388 0.128037 -0.550599
11.000000 1.000000 0.307742 0.181039 0.023043 0.471124
11.000000 1.000000 1.650447 0.020435 0.127853 -0.549772
11.010000 1.000000 0.308547 0.180778 0.023087 0.470593
11.010000 1.000000 1.649304 0.020482 0.127669 -0.548944
11.020000 1.000000 0.309354 0.180517 0.023130 0.470060
11.020000 1.000000 1.648160 0.020529 0.127485 -0.548114
11.020000 1.000000 1.648160 0.020529 0.127485 -0.548115
11.030000 1.000000 0.310162 0.180256 0.023174 0.469525
11.030000 1.000000 1.647013 0.020576 0.127302 -0.547283
11.040000 1.000000 0.310973 0.179995 0.023217 0.468988
11.040000 1.000000 1.645865 0.020624 0.127118 -0.546451
11.050000 1.000000 0.311785 0.179734 0.023261 0.468449
11.050000 1.000000 1.644714 0.020671 0.126935 -0.545616
11.060000 1.000000 0.312600 0.179472 0.023305 0.467908
11.060000 1.000000 0.312600 0.179472 0.023305 0.467909
11.060000 1.000000 1.643562 0.020719 0.126752 -0.544780
11.070000 1.000000 0.313416 0.179211 0.023348 0.467366
11.070000 1.000000 1.642407 0.020766 0.126569 -0.543943
11.080000 1.000000 0.314234 0.178949 0.023392 0.466821
11.080000 1.000000 0.314235 0.178949 0.023392 0.466821
11.080000 1.000000 1.641251 0.020814 0.126386 -0.543104
11.090000 1.000000 0.315055 0.178687 0.023436 0.466275
11.090000 1.000000 1.640092 0.020862 0.126203 -0.542263
11.100000 1.000000 0.315877 0.178425 0.023480 0.465727
11.100000 1.000000 1.638931 0.020911 0.126020 -0.541421
11.110000 1.000000 0.316702 0.178163 0.023525 0.465176
11.110000 1.000000 1.637769 0.020959 0.125838 -0.540577
11.120000 1.000000 0.317528 0.177901 0.023569 0.464624
11.120000 1.000000 1.636604 0.021007 0.125655 -0.539731
